entry,type
Frank V Liotta,person
Frank Gatti,person
Pietro Novasio,person
Franco Lalli,person
Alberto Viviani,person
Marcello Marchesi,person
Carlo Coccioli,person
American Committee on Italian Migration,institution
Paolo Luotto,person
Enrico Caruso,person
Arturo Toscanini,person
WOV,institution
Il Carroccio,institution
Il Corriere d'America,institution
L'Americolo,institution
Sergio Perosa,person
Gianni Menarini,person
Pablo Neruda,person
Stephen Spender,person
Octavio Paz,person
Amiri Baraka,person
Dario Bellezza,person
Diane di Prima,person
John Giorno,person
Brion Gysin,person
Amelia Rosselli,person
Percy Bysshe Shelley,person
Lucky Luciano,person
City Lights Booksellers and Publishers,institution
Guanda Editore,institution
East 128,institution
Festival dei Due Mondi,institution
Festival di Castel Porziano,institution
Peter Martin,person
Charles Olson,person
Romano Giachetti,person
Alfredo Rizzardi,person
Nat Scamacca,person
Bruno Marcer,person
Floriana Bossi,person
Tennessee Williams,person
Vittorio Gassman,person
Giorgio De Chirico,person
Roberto Rossellini,person
Renzo Vespignani,person
Marcello Muccini,person
Lucia Drudi,person
Camillo Mastrocinque,person
Europa '51,institution
Silvio D'Amico,person
Thomas Mann,person
Gerhart Hauptmann,person
Gotthold Ephraim Lessing,person
Angelo Fortunato Formiggini,person
Andrea Caffi,person
Laurence Binyon,person
C H Grandgent,person
Dante Gabriel Rossetti,person
Adriano Tilgher,person
Giorgio Diaz de Santillana,person
Dino Terra,person
Francesco Grandjacquet,person
Carlo Rosselli,person
Mario Levi,person
Andre Malraux,person
Raymond Aron,person
Lionello Venturi,person
Franco Venturi,person
Paul Desjardins,person
Renzo Guia,person
Giuseppe Emanuele Modigliani,person
Giuseppe Faravelli,person
Angelo Tasca,person
Albert Camus,person
Lamberto Borghi,person
Aldo Bruzzichelli,person
Meyer Schapiro,person
Dwight Macdonald,person
Mary McCarthy,person
Hannah Arendt,person
Lionel Abel,person
Robert Lowell,person
Elizabeth Hardwick,person
William Phillips,person
William Barrett,person
Philip Rhav,person
James T Farrell,person
Sidney Hook,person
Simone Weil,person
PJ Proudhon,person
Georges Gurvitch,person
HJ Kaplan,person
Giustizia e Liberta,institution
L'Italia Libera,institution
The New Republic,institution
Il Mondo,institution
Dissent,institution
Leonardo Sciascia,person
Enzo Forcella,person
Nelo Risi,person
Altiero Spinelli,person
Gustaw Herling,person
Elemire Zolla,person
Isaiah Berlin,person
Guido Piovene,person
Associazione italiana per la liberta della cultura,institution
Encounter,institution
David McDowell,person
Arthur Miller,person
Martha Foley,person
Ben Johnson,person
Book Find Club,institution
Acta Films,institution
Greenwood Press,institution
Book of the Month Club,institution
Simon and Schuster,institution
Modern Library,institution
Raffaello Salimbeni,person
